serial_name,gunpla_id,model_id,part_types,parts_count,primary_ch_archive,has_ch_archive,ch_archives,source_tables
RX-80PR,10041,10041,head; body; arms; legs; backpack,25,ch/10041.arc,yes,ch/10041.arc; ch/10041_mot.arc; ch/10041_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-80PR,10041,12174,shield,5,,no,,table_shield.ets
RX-78NT-1FA,10089,10089,body; arms; legs; backpack,8,ch/10089.arc,yes,ch/10089.arc; ch/10089_mot.arc; ch/10089_vfx.arc,table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-78NT-1FA,10089,10004,head,2,ch/10004.arc,yes,ch/10004.arc; ch/10004_mot.arc; ch/10004_vfx.arc,table_head.eth
RX-178,10100,10100,head; body; arms; legs; backpack,10,ch/10100.arc,yes,ch/10100.arc; ch/10100_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-178,10100,10108,long_weapon,2,ch/10108.arc,yes,ch/10108.arc; ch/10108_mot.arc; ch/10108_vfx.arc,table_long_weapon.etwl
RX-178,10100,10607,long_weapon,2,,no,,table_long_weapon.etwl
RX-178,10100,11103,short_weapon,2,ch/11103.arc,yes,ch/11103.arc; ch/11103_mot.arc; ch/11103_vfx.arc,table_short_weapon.etws
RX-178,10100,12109,shield,2,,no,,table_shield.ets
RX-178,10102,10102,head; body; arms; legs; backpack,10,ch/10102.arc,yes,ch/10102.arc; ch/10102_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RX-178,10102,12121,shield,2,,no,,table_shield.ets
MSN-00100,10104,10104,head; body; arms; legs; backpack,25,ch/10104.arc,yes,ch/10104.arc; ch/10104_mot.arc; ch/10104_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MSN-00100,10104,10109,long_weapon,4,,no,,table_long_weapon.etwl
MSN-00100,10104,10608,long_weapon,4,,no,,table_long_weapon.etwl
MSN-00100,10104,11104,short_weapon,5,ch/11104.arc,yes,ch/11104.arc; ch/11104_mot.arc; ch/11104_vfx.arc,table_short_weapon.etws
MSZ-006,10105,10105,head; body; arms; legs; backpack,20,ch/10105.arc,yes,ch/10105.arc; ch/10105_mot.arc; ch/10105_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MSZ-006,10105,10303,long_weapon,4,ch/10303.arc,yes,ch/10303.arc; ch/10303_mot.arc; ch/10303_vfx.arc,table_long_weapon.etwl
MSZ-006,10105,10304,long_weapon,4,ch/10304.arc,yes,ch/10304.arc; ch/10304_mot.arc; ch/10304_vfx.arc,table_long_weapon.etwl
MSZ-006,10105,11105,short_weapon,4,ch/11105.arc,yes,ch/11105.arc; ch/11105_mot.arc; ch/11105_vfx.arc,table_short_weapon.etws
MSZ-006,10105,11400,short_weapon,4,ch/11400.arc,yes,ch/11400.arc; ch/11400_vfx.arc,table_short_weapon.etws
MSZ-006,10105,12105,shield,4,ch/12105.arc,yes,ch/12105.arc; ch/12105_vfx.arc,table_shield.ets
RMS-179,10106,10106,head; body; arms; legs; backpack,10,ch/10106.arc,yes,ch/10106.arc; ch/10106_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
AMX-004,10108,10108,head; body; arms; legs; backpack,20,ch/10108.arc,yes,ch/10108.arc; ch/10108_mot.arc; ch/10108_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RGM-86R,10201,10201,head; body; arms; legs; backpack,10,ch/10201.arc,yes,ch/10201.arc; ch/10201_mot.arc; ch/10201_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RGM-89,10302,10302,head; body; arms; legs; backpack,10,ch/10302.arc,yes,ch/10302.arc; ch/10302_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
RGM-89,10302,12140,shield,2,ch/12140.arc,yes,ch/12140.arc; ch/12140_mot.arc; ch/12140_vfx.arc,table_shield.ets
AMS-119,10303,10303,head; body; arms; legs; backpack,10,ch/10303.arc,yes,ch/10303.arc; ch/10303_mot.arc; ch/10303_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
AMS-119,10303,10406,long_weapon,2,,no,,table_long_weapon.etwl
AMS-119,10303,11302,short_weapon,2,,no,,table_short_weapon.etws
AMS-119,10303,12122,shield,2,,no,,table_shield.ets
F91,10400,10400,head; body; legs; backpack,20,ch/10400.arc,yes,ch/10400.arc; ch/10400_mot.arc; ch/10400_vfx.arc,table_head.eth; table_body.etb; table_leg.etl; table_backpack.etbp
F91,10400,19400,arms,5,ch/19400.arc,yes,ch/19400.arc; ch/19400_mot.arc; ch/19400_vfx.arc,table_arms.eta
F91,10400,10115,long_weapon,5,,no,,table_long_weapon.etwl
F91,10400,10610,long_weapon,5,,no,,table_long_weapon.etwl
F91,10400,11110,short_weapon,5,ch/11110.arc,yes,ch/11110.arc; ch/11110_mot.arc; ch/11110_vfx.arc,table_short_weapon.etws
F91,10400,12203,shield,5,ch/12203.arc,yes,ch/12203.arc; ch/12203_mot.arc; ch/12203_vfx.arc,table_shield.ets
XM-01,10401,10401,head; body; legs; backpack,8,ch/10401.arc,yes,ch/10401.arc; ch/10401_vfx.arc,table_head.eth; table_body.etb; table_leg.etl; table_backpack.etbp
XM-01,10401,19401,arms,2,ch/19401.arc,yes,ch/19401.arc; ch/19401_vfx.arc,table_arms.eta
XM-01,10401,10407,long_weapon,2,,no,,table_long_weapon.etwl
XM-01,10401,11501,short_weapon,2,ch/11501.arc,yes,ch/11501.arc; ch/11501_mot.arc; ch/11501_vfx.arc,table_short_weapon.etws
XM-01,10401,12272,shield,2,ch/12272.arc,yes,ch/12272.arc; ch/12272_mot.arc; ch/12272_vfx.arc,table_shield.ets
GF13-017NJ,10700,10700,head; body; arms; legs; backpack,25,ch/10700.arc,yes,ch/10700.arc; ch/10700_mot.arc; ch/10700_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
JMF1336R,10702,10702,head; body; arms; legs; backpack,15,ch/10702.arc,yes,ch/10702.arc; ch/10702_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GF13-011NC,10705,10705,head; body; arms; legs; backpack,10,ch/10705.arc,yes,ch/10705.arc; ch/10705_mot.arc; ch/10705_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GF13-011NC,10705,11502,short_weapon,2,ch/11502.arc,yes,ch/11502.arc; ch/11502_mot.arc; ch/11502_vfx.arc,table_short_weapon.etws
XXXG-01W,10800,10800,head; body; arms; legs; backpack,20,ch/10800.arc,yes,ch/10800.arc; ch/10800_mot.arc; ch/10800_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
XXXG-01W,10800,10130,long_weapon,4,,no,,table_long_weapon.etwl
XXXG-01W,10800,11113,short_weapon,4,ch/11113.arc,yes,ch/11113.arc; ch/11113_mot.arc; ch/11113_vfx.arc,table_short_weapon.etws
XXXG-01W,10800,12144,shield,4,,no,,table_shield.ets
XXXG-01W,19800,10800,head; body; arms; legs; backpack,5,ch/10800.arc,yes,ch/10800.arc; ch/10800_mot.arc; ch/10800_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
XXXG-01W,19800,10130,long_weapon,1,,no,,table_long_weapon.etwl
XXXG-01W,19800,11113,short_weapon,1,ch/11113.arc,yes,ch/11113.arc; ch/11113_mot.arc; ch/11113_vfx.arc,table_short_weapon.etws
XXXG-01W,19800,12144,shield,1,,no,,table_shield.ets
XXXG-00W0,10802,10802,head; body; arms; legs; backpack,20,ch/10802.arc,yes,ch/10802.arc; ch/10802_mot.arc; ch/10802_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
XXXG-00W0,10802,10204,long_weapon,2,,no,,table_long_weapon.etwl
XXXG-00W0,10802,18204,long_weapon,4,,no,,table_long_weapon.etwl
XXXG-01S,10808,10808,head; body; arms; legs; backpack,20,ch/10808.arc,yes,ch/10808.arc; ch/10808_mot.arc; ch/10808_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
XXXG-01S,10808,11503,short_weapon,4,ch/11503.arc,yes,ch/11503.arc; ch/11503_mot.arc; ch/11503_vfx.arc,table_short_weapon.etws
XXXG-01S,10808,12160,shield,4,ch/12160.arc,yes,ch/12160.arc; ch/12160_mot.arc; ch/12160_vfx.arc,table_shield.ets
OZ-00MS,10812,10812,head; body; arms; legs; backpack,25,ch/10812.arc,yes,ch/10812.arc; ch/10812_mot.arc; ch/10812_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
OZ-00MS,10812,10310,long_weapon,5,,no,,table_long_weapon.etwl
OZ-00MS,10812,11002,shield,6,,no,,table_shield.ets
OZ-00MSII,10813,10813,head; body; arms; legs; backpack,25,ch/10813.arc,yes,ch/10813.arc; ch/10813_mot.arc; ch/10813_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
OZ-00MSII,10813,11002,shield,4,,no,,table_shield.ets
GX-9900,10900,10900,head; body; arms; legs; backpack,25,ch/10900.arc,yes,ch/10900.arc; ch/10900_mot.arc; ch/10900_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GX-9900,10900,10154,long_weapon,5,,no,,table_long_weapon.etwl
GX-9900,10900,11403,short_weapon,5,ch/11403.arc,yes,ch/11403.arc; ch/11403_mot.arc; ch/11403_vfx.arc,table_short_weapon.etws
GX-9900-DV,10901,10900,head; body; arms; legs,16,ch/10900.arc,yes,ch/10900.arc; ch/10900_mot.arc; ch/10900_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl
GX-9900-DV,10901,10901,backpack,4,ch/10901.arc,yes,ch/10901.arc; ch/10901_mot.arc; ch/10901_vfx.arc,table_backpack.etbp
GX-9900-DV,10901,10408,long_weapon,4,,no,,table_long_weapon.etwl
GX-9900-DV,10901,12134,shield,4,,no,,table_shield.ets
NRX-0013,10903,10903,head; body; arms; legs; backpack,20,ch/10903.arc,yes,ch/10903.arc; ch/10903_mot.arc; ch/10903_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
NRX-0013,10903,10123,long_weapon,4,,no,,table_long_weapon.etwl
NRX-0013,10903,11405,short_weapon,4,ch/11405.arc,yes,ch/11405.arc; ch/11405_mot.arc; ch/11405_vfx.arc,table_short_weapon.etws
GAT-X105,11100,11100,head; body; arms; legs; backpack,20,ch/11100.arc,yes,ch/11100.arc; ch/11100_mot.arc; ch/11100_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GAT-X105,11100,10149,long_weapon,4,,no,,table_long_weapon.etwl
GAT-X105,11100,11114,short_weapon,4,ch/11114.arc,yes,ch/11114.arc; ch/11114_mot.arc; ch/11114_vfx.arc,table_short_weapon.etws
GAT-X105,11100,11204,short_weapon,2,ch/11204.arc,yes,ch/11204.arc; ch/11204_vfx.arc,table_short_weapon.etws
GAT-X105,11100,11406,short_weapon,5,ch/11406.arc,yes,ch/11406.arc; ch/11406_mot.arc; ch/11406_vfx.arc,table_short_weapon.etws
GAT-X105,11100,12116,shield,4,,no,,table_shield.ets
GAT-X105,11101,11100,head; body; legs,9,ch/11100.arc,yes,ch/11100.arc; ch/11100_mot.arc; ch/11100_vfx.arc,table_head.eth; table_body.etb; table_leg.etl
GAT-X105,11101,11101,arms; backpack,6,ch/11101.arc,yes,ch/11101.arc; ch/11101_mot.arc; ch/11101_vfx.arc,table_arms.eta; table_backpack.etbp
GAT-X105,11101,11407,short_weapon,2,ch/11407.arc,yes,ch/11407.arc; ch/11407_mot.arc; ch/11407_vfx.arc,table_short_weapon.etws
GAT-X105,11101,11002,shield,2,,no,,table_shield.ets
GAT-X105,11102,11100,head; body; legs,9,ch/11100.arc,yes,ch/11100.arc; ch/11100_mot.arc; ch/11100_vfx.arc,table_head.eth; table_body.etb; table_leg.etl
GAT-X105,11102,11102,arms; backpack,6,ch/11102.arc,yes,ch/11102.arc; ch/11102_mot.arc; ch/11102_vfx.arc,table_arms.eta; table_backpack.etbp
GAT-X207,11106,11106,head; body; arms; legs; backpack,25,ch/11106.arc,yes,ch/11106.arc; ch/11106_mot.arc; ch/11106_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GAT-X102,11107,11107,head; body; arms; legs; backpack,10,ch/11107.arc,yes,ch/11107.arc; ch/11107_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GAT-X102,11107,10124,long_weapon,2,,no,,table_long_weapon.etwl
GAT-X102,11107,10611,long_weapon,2,,no,,table_long_weapon.etwl
GAT-X102,11107,12155,shield,2,ch/12155.arc,yes,ch/12155.arc; ch/12155_mot.arc; ch/12155_vfx.arc,table_shield.ets
GAT-X102,11108,11108,body; arms; legs; backpack,16,ch/11108.arc,yes,ch/11108.arc; ch/11108_mot.arc; ch/11108_vfx.arc,table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GAT-X102,11108,11107,head,4,ch/11107.arc,yes,ch/11107.arc; ch/11107_vfx.arc,table_head.eth
<REPT 1>,19001,11115,head; body; arms; legs; backpack,5,ch/11115.arc,yes,ch/11115.arc; ch/11115_mot.arc; ch/11115_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
<REPT 1>,11115,11115,head; body; arms; legs; backpack,20,ch/11115.arc,yes,ch/11115.arc; ch/11115_mot.arc; ch/11115_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
<REPT 1>,11115,10120,long_weapon,4,,no,,table_long_weapon.etwl
<REPT 1>,11115,11117,short_weapon,4,ch/11117.arc,yes,ch/11117.arc; ch/11117_mot.arc; ch/11117_vfx.arc,table_short_weapon.etws
<REPT 1>,11115,11208,short_weapon,2,,no,,table_short_weapon.etws
<REPT 1>,11115,12158,shield,5,,no,,table_shield.ets
MBF-P02,11200,11200,head; body; arms; legs; backpack,15,ch/11200.arc,yes,ch/11200.arc; ch/11200_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MBF-P02,11200,11118,short_weapon,3,ch/11118.arc,yes,ch/11118.arc; ch/11118_mot.arc; ch/11118_vfx.arc,table_short_weapon.etws
MBF-P02,11200,12118,shield,2,,no,,table_shield.ets
MBF-P03,11204,11204,head; body; arms; legs; backpack,10,ch/11204.arc,yes,ch/11204.arc; ch/11204_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MBF-P03,11204,12119,shield,2,,no,,table_shield.ets
MBF-P04,11206,11206,head; body; arms; legs; backpack,10,ch/11206.arc,yes,ch/11206.arc; ch/11206_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
MBF-P04,11206,10152,long_weapon,2,,no,,table_long_weapon.etwl
MBF-P04,11206,11507,short_weapon,2,,no,,table_short_weapon.etws
MBF-P04,11206,12120,shield,2,ch/12120.arc,yes,ch/12120.arc; ch/12120_mot.arc; ch/12120_vfx.arc,table_shield.ets
GN-001,19002,11400,head; body; arms; legs; backpack,5,ch/11400.arc,yes,ch/11400.arc; ch/11400_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GN-001,11400,11400,head; body; arms; legs; backpack,20,ch/11400.arc,yes,ch/11400.arc; ch/11400_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GN-001,11400,10134,long_weapon,5,,no,,table_long_weapon.etwl
GN-001,11400,11119,short_weapon,5,ch/11119.arc,yes,ch/11119.arc; ch/11119_mot.arc; ch/11119_vfx.arc,table_short_weapon.etws
GN-001,11400,11213,short_weapon,2,,no,,table_short_weapon.etws
GN-001,11400,11214,short_weapon,2,,no,,table_short_weapon.etws
GN-001,11400,12149,shield,5,,no,,table_shield.ets
GN-002,11401,11401,head; body; arms; legs; backpack,25,ch/11401.arc,yes,ch/11401.arc; ch/11401_mot.arc; ch/11401_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GN-002,11401,10211,long_weapon,2,,no,,table_long_weapon.etwl
GN-002,11401,10314,long_weapon,5,,no,,table_long_weapon.etwl
GNX-603T,11410,11410,head; body; arms; legs; backpack,10,ch/11410.arc,yes,ch/11410.arc; ch/11410_mot.arc; ch/11410_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GNX-603T,11410,10138,long_weapon,2,,no,,table_long_weapon.etwl
GNX-603T,11410,10317,long_weapon,2,,no,,table_long_weapon.etwl
GNX-603T,11410,11123,short_weapon,2,,no,,table_short_weapon.etws
GNX-603T,11410,12163,shield,2,,no,,table_shield.ets
GNX-609T,11411,11411,head; body; arms; legs; backpack,10,ch/11411.arc,yes,ch/11411.arc; ch/11411_mot.arc; ch/11411_vfx.arc,table_head.eth; table_body.etb; table_arms.eta; table_leg.etl; table_backpack.etbp
GNX-609T,11411,10139,long_weapon,2,,no,,table_long_weapon.etwl
GNX-609T,11411,10140,long_weapon,2,,no,,table_long_weapon.etwl
GNX-609T,11411,10318,long_weapon,2,,no,,table_long_weapon.etwl
GNX-609T,11411,10613,long_weapon,2,,no,,table_long_weapon.etwl
